symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2016-08-18 00:00:00+00:00,31.17,31.185,30.565,30.93,1580156,24.6495375734,24.6613997186,24.17109772,24.4597432514,1580156,0.0,1.0
GME,2016-08-19 00:00:00+00:00,31.72,31.92,30.89,31.06,2164838,25.0844828948,25.2426448298,24.4281108644,24.5625485092,2164838,0.0,1.0
GME,2016-08-22 00:00:00+00:00,31.46,32.1,31.2607,32.0,1671916,24.8788723792,25.3849905713,24.721264011,25.3059096038,1671916,0.0,1.0
GME,2016-08-23 00:00:00+00:00,32.09,32.67,31.83,32.03,2840247,25.3770824745,25.8357520861,25.171471959,25.329633894,2840247,0.0,1.0
GME,2016-08-24 00:00:00+00:00,31.71,32.41,31.62,32.13,2714735,25.076574798,25.6301415706,25.0054019272,25.4087148616,2714735,0.0,1.0
GME,2016-08-25 00:00:00+00:00,32.16,32.25,31.28,31.67,6125971,25.4324391518,25.5036120226,24.7365266377,25.044942411,6125971,0.0,1.0
GME,2016-08-26 00:00:00+00:00,28.74,30.51,28.69,30.22,14493353,22.7278700629,24.1276031879,22.6883295791,23.8982683821,14493353,0.0,1.0
GME,2016-08-29 00:00:00+00:00,28.97,28.97,28.34,28.75,4405560,22.9097562882,22.9097562882,22.4115461929,22.7357781597,4405560,0.0,1.0
GME,2016-08-30 00:00:00+00:00,28.49,28.96,28.27,28.89,2859089,22.5301676441,22.9018481914,22.3561895156,22.8464915142,2859089,0.0,1.0
GME,2016-08-31 00:00:00+00:00,28.39,28.9499,28.31,28.48,2828007,22.4510866766,22.8938610137,22.3878219026,22.5222595474,2828007,0.0,1.0
GME,2016-09-01 00:00:00+00:00,28.03,28.5778,27.97,28.47,2095181,22.1663951936,22.5996007336,22.1189466131,22.5143514506,2095181,0.0,1.0
GME,2016-09-02 00:00:00+00:00,28.39,28.48,28.04,28.21,1690804,22.4510866766,22.5222595474,22.1743032903,22.3087409351,1690804,0.0,1.0
GME,2016-09-06 00:00:00+00:00,28.38,28.67,28.25,28.38,1944117,22.4431785799,22.6725133856,22.3403733221,22.4431785799,1944117,0.0,1.0
GME,2016-09-07 00:00:00+00:00,28.13,28.2299,27.89,28.03,1516347,22.5380757409,22.6181167564,22.3457850129,22.4579546042,1516347,0.37,1.0
GME,2016-09-08 00:00:00+00:00,27.78,28.11,27.75,27.97,1728855,22.2576517626,22.5220515135,22.2336154216,22.4098819222,1728855,0.0,1.0
GME,2016-09-09 00:00:00+00:00,27.18,28.03,27.17,27.94,2485360,21.7769249427,22.4579546042,21.768912829,22.3858455812,2485360,0.0,1.0
GME,2016-09-12 00:00:00+00:00,27.04,27.38,26.85,27.38,3607028,21.6647553513,21.937167216,21.5125251917,21.937167216,3607028,0.0,1.0
GME,2016-09-13 00:00:00+00:00,26.99,27.39,26.81,26.95,2825362,21.624694783,21.9451793296,21.480476737,21.5926463284,2825362,0.0,1.0
GME,2016-09-14 00:00:00+00:00,27.03,27.63,26.935,27.63,1854281,21.6567432377,22.1374700576,21.5806281579,22.1374700576,1854281,0.0,1.0
GME,2016-09-15 00:00:00+00:00,27.25,27.2672,26.692,26.88,2210690,21.8330097383,21.8467905738,21.3859337958,21.5365615327,2210690,0.0,1.0
GME,2016-09-16 00:00:00+00:00,27.09,27.2616,26.9,27.21,1921891,21.7048159197,21.8423037902,21.55258576,21.8009612837,1921891,0.0,1.0
GME,2016-09-19 00:00:00+00:00,27.9,28.175,27.39,27.39,3349993,22.3537971266,22.5741302524,21.9451793296,21.9451793296,3349993,0.0,1.0
GME,2016-09-20 00:00:00+00:00,27.72,28.18,27.63,28.08,1865146,22.2095790806,22.5781363092,22.1374700576,22.4980151725,1865146,0.0,1.0
GME,2016-09-21 00:00:00+00:00,28.13,28.16,27.7101,27.79,1663723,22.5380757409,22.5621120819,22.2016470881,22.2656638762,1663723,0.0,1.0
GME,2016-09-22 00:00:00+00:00,28.27,28.45,27.89,28.29,1789858,22.6502453322,22.7944633782,22.3457850129,22.6662695595,1789858,0.0,1.0
GME,2016-09-23 00:00:00+00:00,28.19,28.58,28.19,28.24,1370426,22.5861484229,22.8986208558,22.5861484229,22.6262089912,1370426,0.0,1.0
GME,2016-09-26 00:00:00+00:00,27.64,28.2,27.64,28.11,1074888,22.1454821713,22.5941605365,22.1454821713,22.5220515135,1074888,0.0,1.0
GME,2016-09-27 00:00:00+00:00,27.43,27.76,27.27,27.65,1443040,21.9772277843,22.2416275353,21.8490339656,22.1534942849,1443040,0.0,1.0
GME,2016-09-28 00:00:00+00:00,27.49,27.855,27.2,27.45,1166373,22.0253004663,22.3177426151,21.79294917,21.9932520116,1166373,0.0,1.0
GME,2016-09-29 00:00:00+00:00,27.14,27.66,27.125,27.5,1758139,21.744876488,22.1615063986,21.7328583175,22.03331258,1758139,0.0,1.0
GME,2016-09-30 00:00:00+00:00,27.59,27.7,27.25,27.38,1788802,22.1054216029,22.1935548533,21.8330097383,21.937167216,1788802,0.0,1.0
GME,2016-10-03 00:00:00+00:00,27.78,27.86,27.45,27.59,1625697,22.2576517626,22.3217486719,21.9932520116,22.1054216029,1625697,0.0,1.0
GME,2016-10-04 00:00:00+00:00,27.13,27.84,27.03,27.78,2345746,21.7368643743,22.3057244446,21.6567432377,22.2576517626,2345746,0.0,1.0
GME,2016-10-05 00:00:00+00:00,27.2,27.48,26.95,27.27,1941112,21.79294917,22.0172883526,21.5926463284,21.8490339656,1941112,0.0,1.0
GME,2016-10-06 00:00:00+00:00,26.68,27.1,26.3,27.08,3746958,21.3763192594,21.7128280333,21.0718589401,21.696803806,3746958,0.0,1.0
GME,2016-10-07 00:00:00+00:00,26.68,26.93,26.47,26.8,2145391,21.3763192594,21.576622101,21.2080648724,21.4724646234,2145391,0.0,1.0
GME,2016-10-10 00:00:00+00:00,26.83,27.14,26.65,26.84,1599591,21.4965009644,21.744876488,21.3522829184,21.504513078,1599591,0.0,1.0
GME,2016-10-11 00:00:00+00:00,26.05,26.86,26.01,26.82,2142023,20.8715560985,21.5205373054,20.8395076438,21.4884888507,2142023,0.0,1.0
